entry_time,exit_time,direction,entry_price,exit_price,pnl,hold_bars
2023-12-14 14:00:00,2023-12-14 14:30:00,SHORT,1109.2,1104.1,475000.0000000136,2
2023-12-15 11:00:00,2023-12-15 11:30:00,SHORT,1100.6,1102.9,-265000.00000001816,2
2023-12-19 14:00:00,2023-12-19 14:15:00,SHORT,1079.5,1088.3,-914999.9999999955,1
2023-12-19 14:15:00,2023-12-19 14:30:00,LONG,1088.3,1091.3,265000.0,1
2023-12-20 13:15:00,2023-12-20 14:30:00,LONG,1093.0,1096.1,274999.9999999909,5
2023-12-21 13:15:00,2023-12-21 14:30:00,LONG,1094.3,1094.7,5000.000000009095,5
2023-12-26 14:15:00,2023-12-26 14:30:00,LONG,1117.2,1121.0,344999.99999999546,1
2023-12-27 14:15:00,2023-12-27 14:30:00,SHORT,1118.0,1117.5,15000.0,1
2024-01-05 14:00:00,2024-01-05 14:30:00,SHORT,1156.0,1166.1,-1044999.9999999909,2
2024-01-08 11:15:00,2024-01-08 11:30:00,SHORT,1166.0,1166.3,-64999.99999999545,1
2024-01-09 13:45:00,2024-01-09 14:30:00,SHORT,1159.8,1163.2,-375000.0000000091,3
2024-01-10 13:45:00,2024-01-10 14:30:00,LONG,1164.0,1163.1,-125000.0000000091,3
2024-01-11 14:00:00,2024-01-11 14:30:00,SHORT,1162.9,1167.9,-535000.0,2
2024-01-12 13:15:00,2024-01-12 14:30:00,LONG,1166.7,1165.9,-114999.99999999546,5
2024-01-15 14:00:00,2024-01-15 14:30:00,SHORT,1168.4,1163.0,505000.0000000091,2
2024-01-16 14:00:00,2024-01-16 14:30:00,LONG,1163.7,1172.0,794999.9999999955,2
2024-01-17 14:00:00,2024-01-17 14:30:00,SHORT,1167.3,1165.4,154999.99999998635,2
2024-01-18 13:15:00,2024-01-18 14:30:00,LONG,1171.7,1172.8,74999.9999999909,5
2024-01-19 14:00:00,2024-01-19 14:30:00,LONG,1185.1,1190.0,455000.0000000091,2
2024-01-24 11:15:00,2024-01-24 11:30:00,LONG,1187.9,1188.3,4999.999999986358,1
2024-01-24 14:00:00,2024-01-24 14:30:00,SHORT,1180.9,1180.7,-14999.999999995453,2
2024-01-25 13:45:00,2024-01-25 14:30:00,SHORT,1178.0,1181.0,-335000.0,3
2024-01-29 13:30:00,2024-01-29 14:30:00,SHORT,1184.5,1183.5,65000.0,4
2024-01-30 14:15:00,2024-01-30 14:30:00,LONG,1186.8,1185.8,-135000.0,1
2024-02-02 14:00:00,2024-02-02 14:30:00,SHORT,1178.0,1180.8,-314999.99999999546,2
2024-02-15 13:45:00,2024-02-15 14:15:00,LONG,1226.4,1218.7,-805000.0000000045,2
2024-02-15 14:15:00,2024-02-15 14:30:00,SHORT,1218.7,1217.8,55000.000000009095,1
2024-02-23 10:30:00,2024-02-23 11:30:00,LONG,1249.0,1249.8,44999.99999999546,4
2024-02-23 14:00:00,2024-02-23 14:30:00,SHORT,1231.7,1225.1,625000.0000000136,2
2024-02-26 13:30:00,2024-02-26 14:30:00,LONG,1228.3,1230.1,144999.99999999546,4
2024-03-01 14:15:00,2024-03-01 14:30:00,LONG,1268.1,1267.0,-144999.99999999092,1
2024-03-04 13:30:00,2024-03-04 14:30:00,SHORT,1268.0,1268.4,-75000.0000000091,4
2024-03-05 13:15:00,2024-03-05 14:15:00,SHORT,1264.5,1277.7,-1355000.0000000047,4
2024-03-05 14:15:00,2024-03-05 14:30:00,LONG,1277.7,1279.4,135000.00000000454,1
2024-03-06 11:15:00,2024-03-06 11:30:00,SHORT,1273.7,1273.7,-35000.0,1
2024-03-11 13:45:00,2024-03-11 14:30:00,SHORT,1246.9,1230.6,1595000.0000000182,3
2024-03-14 11:15:00,2024-03-14 11:30:00,SHORT,1268.7,1268.5,-14999.999999995453,1
2024-03-15 11:15:00,2024-03-15 11:30:00,SHORT,1247.6,1247.5,-25000.000000009095,1
2024-03-21 14:15:00,2024-03-21 14:30:00,LONG,1275.2,1275.8,24999.999999990905,1
2024-03-22 10:15:00,2024-03-22 11:30:00,SHORT,1279.6,1285.0,-575000.0000000091,5
2024-03-25 11:00:00,2024-03-25 11:30:00,LONG,1282.2,1283.0,44999.99999999546,2
2024-03-25 14:00:00,2024-03-25 14:30:00,SHORT,1275.0,1269.1,555000.0000000091,2
2024-03-28 14:15:00,2024-03-28 14:30:00,LONG,1305.0,1306.9,155000.00000000908,1
2024-04-01 11:00:00,2024-04-01 11:30:00,SHORT,1286.8,1286.3,15000.0,2
2024-04-02 10:30:00,2024-04-02 11:30:00,SHORT,1277.8,1283.0,-555000.0000000045,4
2024-04-02 13:30:00,2024-04-02 14:30:00,LONG,1286.8,1290.0,285000.00000000454,4
2024-04-03 11:00:00,2024-04-03 11:30:00,SHORT,1280.2,1280.7,-85000.0,2
2024-04-04 10:45:00,2024-04-04 11:30:00,SHORT,1274.8,1270.9,354999.9999999864,3
2024-04-05 14:00:00,2024-04-05 14:30:00,LONG,1263.9,1252.0,-1225000.000000009,2
2024-04-08 14:15:00,2024-04-08 14:30:00,SHORT,1252.3,1254.2,-225000.00000000908,1
